account_id,customer_id,account_type,account_status,current_balance,available_balance,opened_date
ACC0000001,CUST000492,SAVINGS,ACTIVE,10118.68,10118.68,2018-08-27
ACC0000002,CUST000312,CHECKING,ACTIVE,198341.34,180364.11,2020-01-08
ACC0000003,CUST000202,CHECKING,ACTIVE,93407.48,77485.45,2025-04-13
ACC0000004,CUST000083,SAVINGS,ACTIVE,205144.89,205144.89,2022-02-23
ACC0000005,CUST000193,CHECKING,ACTIVE,149505.62,149505.62,2025-10-19
ACC0000006,CUST000152,SAVINGS,DORMANT,47061.53,47061.53,2020-08-17
ACC0000007,CUST000049,SAVINGS,ACTIVE,156068.75,156068.75,2018-05-16
ACC0000008,CUST000086,CHECKING,DORMANT,83153.11,74357.32,2017-09-23
ACC0000009,CUST000189,CHECKING,ACTIVE,80225.75,80225.75,2025-09-11
ACC0000010,CUST000153,SAVINGS,DORMANT,242309.02,242309.02,2018-04-25
ACC0000011,CUST000243,SAVINGS,ACTIVE,238829.6,238829.6,2025-07-19
ACC0000012,CUST000294,SAVINGS,ACTIVE,89851.23,89851.23,2020-06-25
ACC0000013,CUST000002,CHECKING,FROZEN,106473.68,106473.68,2017-03-14
ACC0000014,CUST000061,SAVINGS,ACTIVE,31517.8,31517.8,2018-01-10
ACC0000015,CUST000045,CHECKING,ACTIVE,175903.35,146221.95,2024-03-04
ACC0000016,CUST000351,SAVINGS,ACTIVE,211940.92,211940.92,2019-11-29
ACC0000017,CUST000178,CHECKING,ACTIVE,102471.33,86066.37,2024-06-28
ACC0000018,CUST000343,CHECKING,CLOSED,195918.42,195918.42,2023-12-30
ACC0000019,CUST000422,SAVINGS,ACTIVE,86677.29,73214.65,2021-05-06
ACC0000020,CUST000280,CHECKING,ACTIVE,125601.2,125601.2,2023-07-13
ACC0000021,CUST000080,CHECKING,ACTIVE,55295.04,50330.96,2018-08-23
ACC0000022,CUST000103,SAVINGS,ACTIVE,55273.79,49014.14,2026-04-27
ACC0000023,CUST000134,CHECKING,ACTIVE,47116.8,47116.8,2024-10-14
ACC0000024,CUST000047,SAVINGS,ACTIVE,173295.64,173295.64,2023-06-03
ACC0000025,CUST000361,SAVINGS,ACTIVE,209384.09,176119.72,2023-12-25
